metric,value,notes
main_sheet_count,13737,publicationRole=main_sheet.
sub_or_support_surface_count,2438,All non-main public surfaces.
independent_text_sheet_count,94,templateId=sheet.text.v0.
rich_text_surface_count_ge1200_chars,16173,Reading/support text >= 1200 chars.
weak_text_main_sheet_count,0,Main sheets with weak source/generated text.
research_dossier_count,16175,Dossier anchors in candidate payload.
dossier_text_page_count,14231,text_page entries in researchDossiers.
dossier_sub_card_appendix_count,5164,sub_sheet/card/appendix/child_source_record entries.
dossiers_with_more_than_two_support_pages,20,Research packets with >2 sub/card/appendix/child pages.
dossiers_with_more_than_five_text_pages,0,Research packets with >5 text pages.
