metric,value,notes
public_surfaces,7836,All generated public surfaces.
main_sheets,7582,publicationRole=main_sheet.
sub_or_support_surfaces,254,All surfaces not marked as main_sheet.
independent_text_sheet_surfaces,242,templateId=sheet.text.v0.
independent_text_sheet_surface_rate,3.09,Independent text-sheet surfaces / all surfaces.
sub_or_support_surface_rate,3.24,Non-main surfaces / all surfaces.
research_dossiers,7836,Generated dossier packets.
single_anchor_dossiers,7572,Dossiers still built around one source anchor.
compound_or_group_dossiers,264,Dossiers with grouped children or non-single source scope.
dossiers_with_any_text_page,7822,Dossier pageSequence contains at least one text_page.
dossiers_with_two_or_more_text_pages,0,Closer to the desired main-sheet package shape.
dossiers_with_more_than_two_pages,2034,Dossiers with meaningful packet depth beyond main + one text page.
average_dossier_pages,2.28,Mean pages per research dossier.
average_dossier_text_pages,1.00,Mean text_page entries per research dossier.
group_candidates,553,Potential grouping/parent opportunities from surface_group_candidates_v1.csv.
strong_group_candidates,351,Medium/high confidence groups with at least three members.
group_candidate_member_total,8132,Total member_count across group candidates; diagnostic only and may overlap.
template_count:card.sparse.v0,14,Template distribution.
template_count:sheet.compound.v0,21,Template distribution.
template_count:sheet.img00.v0,36,Template distribution.
template_count:sheet.main.v0,7523,Template distribution.
template_count:sheet.text.v0,242,Template distribution.
publication_role_count:(blank),2,Publication role distribution.
publication_role_count:main_sheet,7582,Publication role distribution.
publication_role_count:merge_candidate_support_packet,14,Publication role distribution.
publication_role_count:support_packet_appendix_text,235,Publication role distribution.
publication_role_count:thin_visual_support_packet,3,Publication role distribution.
surface_disposition_count:main_sheet,7582,Surface disposition distribution.
surface_disposition_count:support_packet_appendix_text,235,Surface disposition distribution.
surface_disposition_count:merge_candidate_support_packet,14,Surface disposition distribution.
surface_disposition_count:thin_visual_support_packet,3,Surface disposition distribution.
surface_disposition_count:(blank),2,Surface disposition distribution.
group_candidate_type:folder_cell_decade,302,Grouping opportunity type distribution.
group_candidate_type:same_source_collection,152,Grouping opportunity type distribution.
group_candidate_type:same_series_stem,57,Grouping opportunity type distribution.
group_candidate_type:same_title_within_source,42,Grouping opportunity type distribution.
group_candidate_confidence:medium,446,Grouping opportunity confidence distribution.
group_candidate_confidence:low,65,Grouping opportunity confidence distribution.
group_candidate_confidence:high,42,Grouping opportunity confidence distribution.
group_candidate_action:canonical_main_with_source_register,323,Recommended grouping action distribution.
group_candidate_action:review_only,107,Recommended grouping action distribution.
group_candidate_action:canonical_main_with_support_children,93,Recommended grouping action distribution.
group_candidate_action:support_packet_cluster,25,Recommended grouping action distribution.
group_candidate_action:compound_main_candidate,5,Recommended grouping action distribution.
