region_group,active_source_count,candidate_source_count,region_weight,weighted_active_source_points,weighted_target_points,region_target_source_count,region_balance_rate
Africa,2140,21,1.35,2889.00,713.34,529,100.00
Middle East and North Africa,1736,16,1.35,2343.60,713.34,529,100.00
South Asia,933,15,1.35,1259.55,713.34,529,100.00
Southeast Asia,2028,44,1.35,2737.80,713.34,529,100.00
Latin America,3760,27,1.30,4888.00,686.92,529,100.00
Latin America / Transregional,0,1,1.30,0.00,686.92,529,0.00
Latin America and the Caribbean,0,3,1.30,0.00,686.92,529,0.00
East Asia,645,45,1.25,806.25,660.50,529,100.00
Mainland China,1,1,1.25,1.25,660.50,529,0.19
Eastern Europe,1996,21,1.20,2395.20,634.08,529,100.00
Eastern Europe / Caucasus,0,2,1.20,0.00,634.08,529,0.00
Oceania and Pacific,595,15,1.10,654.50,581.24,529,100.00
Argentina,1,0,1.00,1.00,528.40,529,0.19
Australia,1,0,1.00,1.00,528.40,529,0.19
Brazil,1,0,1.00,1.00,528.40,529,0.19
Central Asia,592,0,1.00,592.00,528.40,529,100.00
China,1,0,1.00,1.00,528.40,529,0.19
"France, 19th century",1,0,1.00,1.00,528.40,529,0.19
Georgia,1,0,1.00,1.00,528.40,529,0.19
Hong Kong,1,0,1.00,1.00,528.40,529,0.19
India,1,0,1.00,1.00,528.40,529,0.19
Indonesia,1,0,1.00,1.00,528.40,529,0.19
Japan,2,0,1.00,2.00,528.40,529,0.38
Korea,1,0,1.00,1.00,528.40,529,0.19
Malaysia,1,0,1.00,1.00,528.40,529,0.19
Mexico,1,0,1.00,1.00,528.40,529,0.19
Philippines,1,0,1.00,1.00,528.40,529,0.19
Singapore,3,0,1.00,3.00,528.40,529,0.57
South Africa,1,0,1.00,1.00,528.40,529,0.19
United States,7,0,1.00,7.00,528.40,529,1.32
Europe,1,2,0.85,0.85,449.14,529,0.19
Western/Central Europe,3,27,0.85,2.55,449.14,529,0.57
North America,5,28,0.75,3.75,396.30,529,0.95
Global,3849,3,0.70,2694.30,369.88,529,100.00
Global / web / transnational,2,6,0.70,1.40,369.88,529,0.38
North America / Global digital,0,1,0.70,0.00,369.88,529,0.00
unmapped_region,0,20,0.20,0.00,400.00,2000,0.00
