metric,value,notes
scope,non_mutating_tiny_seed_resolution,"No rebuild, role override, payload write, image download, or rights/image-state change."
tiny_seed_rows,6,Seed clusters reviewed.
seed_role_detail_rows,44,Role rows inside seed clusters.
sandbox_ready_rows,0,Rows that could enter tiny sandbox after manual sign-off.
resolution_status:hold_macro_anchor_only_series,1,Seed resolution status distribution.
resolution_status:needs_anchor_selection_review,1,Seed resolution status distribution.
resolution_status:hold_profile_directory_not_packet,1,Seed resolution status distribution.
resolution_status:needs_region_split_before_tiny_sandbox,1,Seed resolution status distribution.
resolution_status:hold_reference_publication_drift,1,Seed resolution status distribution.
resolution_status:needs_member_evidence_review,1,Seed resolution status distribution.
record_kind:poster_or_campaign_item,12,Record-kind hints inside seed clusters.
record_kind:issue_or_serial,12,Record-kind hints inside seed clusters.
record_kind:profile_or_interview,8,Record-kind hints inside seed clusters.
record_kind:event_or_exhibition,7,Record-kind hints inside seed clusters.
record_kind:book_or_software,5,Record-kind hints inside seed clusters.
